A,xsec,density,ev,rc1,rc2,nt,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,P1,P2,P3
183.85,305.29,19.3,228884,-1.4515,-0.8598,-0.01634,69525,12099.8,11544,10206.8,2819.6,2574.9,2281,1871.6,1809.1999999999998,595,491.59999999999997,425.3,258.79999999999995,245.4,36.5,33.6,77.10000000000001,46.800000000000004,35.6,6.1000000000000005,,,,
186.207,309.204,20.98,225987,-1.5033,-0.8892,-0.016572,71676.4,12526.7,11958.7,10535.3,2931.7000000000003,2681.6,2367.3,1948.9,1882.9,625,517.9,444.40000000000003,273.7,260.2,40.599999999999994,40.599999999999994,82.8,45.6,34.6,6.06267,5.20913,,,
190.2,315.835,22.53,221242,-1.5563,-0.9192,-0.016659,73870.8,12968,12385,10870.900000000001,3048.5,2792.2,2457.2,2030.8000000000002,1960.1,654.3,546.5,468.2,289.4,272.8,46.300000000000004,46.300000000000004,83.7,58,45.400000000000006,7.05265,6.02794,,,
192.22,319.189,22.39,218917,-1.6105,-0.9498,-0.016921,76111,13418.5,12824.1,11215.199999999999,3173.7000000000003,2908.7000000000003,2550.7,2116.1,2040.4,690.1,577.0999999999999,494.3,311.40000000000003,294.9,63.4,60.5,95.2,63,50.5,8.062750000000001,6.85456,,,
195.08,323.938,21.41,215708,-1.6659,-0.9816,-0.017109,78394.8,13879.9,13272.6,11563.7,3296,3026.5,2645.4,2201.9,2121.6,722,609.1999999999999,519,330.79999999999995,313.3,74.30000000000001,71.1,101.7,65.3,51.7,7.43991,6.12538,,,
196.9665,327.071,18.85,213642,-1.7226,-1.0134,-0.017382,80724.90000000001,14352.800000000001,13733.599999999999,11918.699999999999,3424.9,3147.8,2743,2291.1000000000004,2205.7000000000003,758.8000000000001,643.7,545.4,352,333.9,86.4,82.8,107.80000000000001,71.7,53.699999999999996,8.308380000000001,6.7903199999999995,,,
200.59,333.088,13.522,209783,-1.7805,-1.0458,-0.017503,83102.3,14839.3,14208.7,12283.9,3561.6,3278.5,2847.1000000000004,2384.9,2294.9,800.3,676.9,571,378.3,359.8,102.2,98.5,120.3,80.5,57.6,6.4,6.4,7.71361,,
204.383,339.386,11.83,205890,-1.8396,-1.0794,-0.01761,85530.4,15346.7,14697.900000000001,12657.5,3704.1,3415.7000000000003,2956.6,2485.1,2389.3,845.5,721.3000000000001,609,406.6,386.2,122.80000000000001,118.5,136.3,99.6,75.39999999999999,15.299999999999999,13.100000000000001,9.664829999999998,,
207.2,344.064,11.33,203090,-1.9001,-1.1136,-0.017802,88004.5,15860.8,15200,13035.199999999999,3850.7,3554.2,3066.3999999999996,2585.6,2484,893.5999999999999,763.9,644.5,435.2,412.9,142.9,138.1,147.29999999999998,104.80000000000001,86,21.8,19.2,11.6904,4.91166,
208.9804,347.02,9.73,201360,-1.9618,-1.1484,-0.018084,90525.9,16387.5,15711.1,13418.6,3999.1,3696.2999999999997,3176.8999999999996,2687.6000000000004,2579.6,938.2,805.3000000000001,678.9,463.6,440,161.89999999999998,157.4,159.3,116.8,92.8,26.5,24.400000000000002,14.2334,6.16991,
209,347.053,9.3,201341,-2.0248,-1.1838,-0.01852,93105,16939.3,16244.3,13813.800000000001,4149.4,3854.1,3301.8999999999996,2798,2683,995.3,851,705,500.2,473.4,175.344,169.36200000000002,170.906,125.69500000000001,98.3141,31.4,31.4,16.7777,7.55974,5.39477
210,348.713,1,200382,-2.0891,-1.2198,-0.018874,95729.9,17493,16784.7,14213.5,4317,4008,3426,2908.7000000000003,2786.7000000000003,1042,886,740,533.2,475.385,197.076,190.577,185.617,138.49900000000002,108.42599999999999,41.5942,37.6618,19.339,9.03104,6.2445
222,368.64,923e-6,189551,-2.1548,-1.257,-0.018276,98404,18049,17337.1,14619.400000000001,4482,4159,3538,3021.5,2892.3999999999996,1097,929,768,566.6,537,219.631,212.588,200.83100000000002,151.771,118.81700000000001,48.6911,44.255,21.9397,10.5726,7.12588
223,370.3,1,188701,-2.2217,-1.2942,-0.01862,101137,18639,17906.5,15031.2,4652,4327,3663,3136.2000000000003,2999.7,1153,980,810,603.3,577,246.488,238.863,220.035,169.009,132.957,59.537800000000004,54.5529,27.867900000000002,15.165,10.6123
226.0254,375.324,5,186175,-2.2901,-1.3326,-0.018795,103922,19236.7,18484.3,15444.4,4822,4489.5,3791.7999999999997,3248.4,3104.9,1208.3999999999999,1057.6000000000001,879.1,635.9,602.7,298.9,298.9,254.4,200.4,152.79999999999998,67.2,67.2,43.5,18.8,18.8
227.0278,376.989,10.05,185353,-2.3597,-1.3722,-0.01914,106755,19840,19083.2,15871,5002,4656,3909,3370.2000000000003,3219,1269,1080,890,674.9000000000001,637,303.944,295.067,261.255,206.171,163.23499999999999,83.1361,76.9389,40.4636,25.1851,18.4021
232.0381,385.309,11.7,181351,-2.4308,-1.4118,-0.01915,109651,20472.100000000002,19693.2,16300.3,5182.299999999999,4830.4,4046.1,3490.8,3332,1329.5,1168.1999999999998,967.3000000000001,714.0999999999999,676.4,344.4,335.2,290.2,229.4,181.79999999999998,94.3,87.9,59.5,49,43
231.0359,383.644,15.34,182138,-2.5033,-1.4526,-0.019663,112601,21104.600000000002,20313.7,16733.1,5366.900000000001,5000.9,4173.8,3611.2000000000003,3441.8,1387.1,1224.3,1006.6999999999999,743.4,708.2,371.2,359.5,309.59999999999997,233.624,183.04999999999998,96.6789,89.2408,45.4585,28.5451,20.320600000000002
238.0289,395.257,18.92,176787,-2.5771,-1.494,-0.019507,115606,21757.4,20947.600000000002,17166.3,5548,5182.2,4303.4,3727.6,3551.7,1440.8000000000002,1272.6,1044.8999999999999,780.4,737.7,391.29999999999995,380.90000000000003,323.7,259.29999999999995,195.1,105,96.3,70.7,42.3,32.300000000000004
