z,src,dest,satellite,probability,energy_eV
41,5,3,0,0.01,1996.2354478916054
41,8,6,0,0.01,171.961425011234
41,10,6,0,0.01,322.87548810703055
41,13,6,0,0.5,374.5745843900293
41,9,7,0,0.01,158.1430962156884
41,10,7,0,0.1,304.6294531525792
41,14,7,0,1.0,355.2555513842399
41,12,9,0,0.01,171.74703897090973
42,4,1,0,1.0,17479.79521120819
42,3,1,0,0.5,17374.70920740197
42,7,1,0,0.17,19608.753488604867
42,12,1,0,0.04,19965.247573768072
42,6,1,0,0.07,19590.78285162825
42,9,4,0,1.0,2293.2218777797248
42,8,4,0,0.1,2289.9097666598277
42,8,3,0,0.45,2394.8671342358957
42,7,2,0,0.03,2473.105288594333
42,6,2,0,0.03,2455.7159608837687
42,10,4,0,0.03,2455.7159608837687
42,13,3,0,0.01,2623.559766242747
42,5,4,0,0.03,2015.7408375024343
42,5,3,0,0.01,2120.293927885416
42,8,6,0,0.01,179.9480223992739
42,10,6,0,0.01,351.22999272832783
42,9,7,0,0.1,165.5329605248327
42,10,7,0,1.0,330.6244998215992
42,12,9,0,0.1,192.5818381999064
43,4,1,0,1.0,18367.483546131924
43,3,1,0,0.5,18251.21996012184
43,7,1,0,0.16,20619.355967586853
43,12,1,0,0.03,21005.724355025028
43,6,1,0,0.08,20599.486182145898
43,9,4,0,1.0,2424.0280643055394
43,8,3,0,0.45,2536.864678515739
44,4,1,0,1.0,19279.745511149424
44,3,1,0,0.5,19150.798942416663
44,7,1,0,0.16,21657.383215675607
44,12,1,0,0.03,22074.59805453472
44,6,1,0,0.08,21635.086016210884
44,9,4,0,1.0,2558.617085757617
44,8,4,0,0.1,2554.3683710961022
44,8,3,0,0.45,2683.303555681315
44,7,2,0,0.03,2763.4330547207173
44,6,2,0,0.03,2741.1936200110486
44,10,4,0,0.03,2763.4330547207173
44,13,3,0,0.01,2964.568586703164
44,5,4,0,0.03,2252.8243378413686
44,5,3,0,0.01,2382.0208920864497
44,8,6,0,0.01,199.33149104999953
44,10,6,0,0.01,383.85197347708896
44,13,6,0,0.01,486.21249973764594
44,9,7,0,0.01,181.5288249386526
44,14,7,0,1.0,460.9077599743484
44,12,9,0,0.01,236.88228397611712
45,4,1,0,1.0,20216.571131147226
45,3,1,0,0.5,20074.18477617663
45,7,1,0,0.16,22724.374529527075
45,12,1,0,0.04,23173.315035250307
45,6,1,0,0.08,22699.411833229537
45,9,4,0,1.0,2696.8151213417
45,8,4,0,0.1,2692.118846868378
45,8,3,0,0.42,2834.4814622554313
45,7,2,0,0.11,2915.7656609072883
45,6,2,0,0.05,2890.882937723832
45,10,4,0,0.03,2922.983413091443
45,13,3,0,0.1,3143.8544370286713
45,5,4,0,0.03,2376.587387780094
45,5,3,0,0.01,2519.1333773513156
45,8,6,0,0.01,209.07957408617153
45,10,6,0,0.01,441.2248663099634
45,9,7,0,0.01,189.28883577572478
45,10,7,0,0.1,416.0543202453011
45,14,7,0,1.0,495.73845435065857
45,12,9,0,0.01,260.0884989156696
46,4,1,0,1.0,21177.58774158335
46,3,1,0,0.5,21020.682145925828
46,7,1,0,0.18,23819.293674229564
46,12,1,0,0.03,24299.666313838803
46,6,1,0,0.08,23791.868942489196
46,9,4,0,1.0,2838.6802902485697
46,8,4,0,0.1,2833.354375190812
46,8,3,0,0.42,2990.294471424568
46,7,2,0,0.11,3073.0230365612383
46,6,2,0,0.05,3045.471431138997
46,10,4,0,0.01,3087.101923039184
46,13,3,0,0.1,3328.7920161386382
46,5,4,0,0.02,2503.4666821423466
46,5,3,0,0.01,2660.319438538778
46,8,6,0,0.01,219.44103970460128
46,10,6,0,0.01,473.2220894393119
46,13,6,0,0.5,561.0144227742069
46,9,7,0,0.01,197.11317556931593
46,10,7,0,0.1,444.38776857741834
46,14,7,0,1.0,532.1209761077241
46,12,9,0,0.01,284.36740236949476
47,4,1,0,1.0,22163.38417852733
